Other ID,d13C,13C_SE,FM,FM_SE,?14C,14C_SE,14C_age_BP,14C_age_SE,samle_type,year_samp,yield_mg_ext,perc_C,point,depth,BD,%clay,land_use,year_conv,acidified,profiles,C_cont_in_interval_g_m2,clay_cat,C_cont_of_profile_g_m2,%C4,%C3,%C4_depth_correct,%C3_depth_correct,lab
S03P7_10,-24.5,0.15,1.0741,0.0032,65.8,3.2,>Modern,,BS,2013,1.26,2.19,S03P7,10,1.4108,NA,soy,2003,no,no,3088.116126,,3088.116126,21.875,78.125,21.875,78.125,MBL/Irvine
S03P7_20,-25.6,,,,,,,,BS,2013,0.35,0.69,S03P7,20,,NA,soy,2003,no,no,,,,15,85,5.703125,94.296875,MBL/Irvine
S03P7_50,-25.8,,,,,,,,BS,2013,0.33,0.47,S03P7,50,,NA,soy,2003,no,no,,,,13.75,86.25,-5.546875,105.546875,MBL/Irvine
S03P7_100,-25,,,,,,,,BS,2013,0.21,0.29,S03P7,100,,NA,soy,2003,no,no,,,,18.75,81.25,-5.859375,105.859375,MBL/Irvine
S03P7_200,-25.1,,,,,,,,BS,2013,0.38,0.45,S03P7,200,,NA,soy,2003,no,no,,,,18.125,81.875,-11.953125,111.953125,MBL/Irvine
S04P1_10,-25,0.15,1.093,0.0033,84.5,3.3,>Modern,,BS,2013,1.45,1.45,S04P1,10,1.3359,33,soy,2004,no,no,1938.457831,,1938.457831,18.75,81.25,18.75,81.25,MBL/Irvine
S04P1_20,-25.5,,,,,,,,BS,2013,0.47,0.93,S04P1,20,,NA,soy,2004,no,no,,,,15.625,84.375,6.328125,93.671875,MBL/Irvine
S04P1_50,-24.9,,,,,,,,BS,2013,0.3,0.47,S04P1,50,,NA,soy,2004,no,no,,,,19.375,80.625,0.078125,99.921875,MBL/Irvine
S04P1_100,-24.7,,,,,,,,BS,2013,0.24,0.33,S04P1,100,,NA,soy,2004,no,no,,,,20.625,79.375,-3.984375,103.984375,MBL/Irvine
S04P1_200,-24.1,,,,,,,,BS,2013,0.21,0.27,S04P1,200,,NA,soy,2004,no,no,,,,24.375,75.625,-5.703125,105.703125,MBL/Irvine
S04P2_10,-25.2,0.15,1.073,0.0031,64.7,3.1,>Modern,,BS,2013,1.5,1.72,S04P2,10,1.2241,33,soy,2004,no,no,2104.465671,,2104.465671,17.5,82.5,17.5,82.5,MBL/Irvine
S04P2_20,-25.3,,,,,,,,BS,2013,0.47,0.88,S04P2,20,,NA,soy,2004,no,no,,,,16.875,83.125,7.578125,92.421875,MBL/Irvine
S04P2_50,-25,,,,,,,,BS,2013,0.28,0.43,S04P2,50,,NA,soy,2004,no,no,,,,18.75,81.25,-0.546875,100.546875,MBL/Irvine
S04P2_100,-24.3,,,,,,,,BS,2013,0.21,0.29,S04P2,100,,NA,soy,2004,no,no,,,,23.125,76.875,-1.484375,101.484375,MBL/Irvine
S04P2_200,-23.5,,,,,,,,BS,2013,0.22,0.26,S04P2,200,,NA,soy,2004,no,no,,,,28.125,71.875,-1.953125,101.953125,MBL/Irvine
S04P3_10,-22.4,0.15,1.0663,0.0031,58,3.1,>Modern,,BS,2013,1.93,1.04,S04P3,10,1.5953,NA,soy,2004,no,no,1658.519547,,1658.519547,35,65,35,65,MBL/Irvine
S04P3_20,-25.2,,,,,,,,BS,2013,0.39,0.7,S04P3,20,,NA,soy,2004,no,no,,,,17.5,82.5,8.203125,91.796875,MBL/Irvine
S04P3_50,-24.3,,,,,,,,BS,2013,0.25,0.41,S04P3,50,,NA,soy,2004,no,no,,,,23.125,76.875,3.828125,96.171875,MBL/Irvine
S04P3_100,-24.9,,,,,,,,BS,2013,0.2,0.27,S04P3,100,,NA,soy,2004,no,no,,,,19.375,80.625,-5.234375,105.234375,MBL/Irvine
S04P3_200,-23.7,,,,,,,,BS,2013,0.15,0.19,S04P3,200,,NA,soy,2004,no,no,,,,26.875,73.125,-3.203125,103.203125,MBL/Irvine
S04P4_10,-24.9,0.15,1.0724,0.0031,64.1,3.1,>Modern,,BS,2013,3,0.88,S04P4,10,1.1968,60,soy,2004,no,no,1055.312278,,1055.312278,19.375,80.625,19.375,80.625,MBL/Irvine
S04P4_20,-23.6,,,,,,,,BS,2013,1.04,1.75,S04P4,20,,63,soy,2004,no,no,,,,27.5,72.5,18.203125,81.796875,MBL/Irvine
S04P4_50,-23.4,,,,,,,,BS,2013,0.58,0.86,S04P4,50,,71,soy,2004,no,no,,,,28.75,71.25,9.453125,90.546875,MBL/Irvine
S04P4_100,-23,,,,,,,,BS,2013,0.4,0.54,S04P4,100,,70,soy,2004,no,no,,,,31.25,68.75,6.640625,93.359375,MBL/Irvine
S04P4_200,-21,,,,,,,,BS,2013,0.33,0.4,S04P4,200,,68,soy,2004,no,no,,,,43.75,56.25,13.671875,86.328125,MBL/Irvine
S04P5_10,-23.7,0.15,1.0786,0.0031,70.3,3.1,>Modern,,BS,2013,2.64,0.57,S04P5,10,1.5647,55,soy,2004,no,no,898.8677174,,898.8677174,26.875,73.125,26.875,73.125,MBL/Irvine
S04P5_20,-23.9,,,,,,,,BS,2013,0.69,1.21,S04P5,20,,NA,soy,2004,no,no,,,,25.625,74.375,16.328125,83.671875,MBL/Irvine
S04P5_50,-23.3,,,,,,,,BS,2013,0.54,0.83,S04P5,50,,NA,soy,2004,no,no,,,,29.375,70.625,10.078125,89.921875,MBL/Irvine
S04P5_100,-22.9,,,,,,,,BS,2013,0.41,0.53,S04P5,100,,NA,soy,2004,no,no,,,,31.875,68.125,7.265625,92.734375,MBL/Irvine
S04P5_200,-21.1,,,,,,,,BS,2013,0.35,0.41,S04P5,200,,NA,soy,2004,no,no,,,,43.125,56.875,13.046875,86.953125,MBL/Irvine
S04P6_10,-24.9,0.15,1.0778,0.0031,69.5,3.1,>Modern,,BS,2013,2.88,1.48,S04P6,10,1.4504,55,soy,2004,no,no,2151.302707,,2151.302707,19.375,80.625,19.375,80.625,MBL/Irvine
S04P6_20,-22.5,,,,,,,,BS,2013,0.6,1.1,S04P6,20,,NA,soy,2004,no,no,,,,34.375,65.625,25.078125,74.921875,MBL/Irvine
S04P6_50,-20.9,,,,,,,,BS,2013,0.51,0.78,S04P6,50,,NA,soy,2004,no,no,,,,44.375,55.625,25.078125,74.921875,MBL/Irvine
S04P6_100,-20.1,,,,,,,,BS,2013,0.39,0.52,S04P6,100,,NA,soy,2004,no,no,,,,49.375,50.625,24.765625,75.234375,MBL/Irvine
S04P6_200,-20.9,,,,,,,,BS,2013,0.37,0.47,S04P6,200,,NA,soy,2004,no,no,,,,44.375,55.625,14.296875,85.703125,MBL/Irvine
S04P7_10,-23.4,0.15,1.0818,0.0031,73.5,3.1,>Modern,,BS,2013,1.81,0.87,S04P7,10,1.45,NA,soy,2004,no,no,1262.706586,,1262.706586,28.75,71.25,28.75,71.25,MBL/Irvine
S04P7_20,-25.1,,,,,,,,BS,2013,0.35,0.64,S04P7,20,,NA,soy,2004,no,no,,,,18.125,81.875,8.828125,91.171875,MBL/Irvine
S04P7_50,-24.6,,,,,,,,BS,2013,0.3,0.48,S04P7,50,,NA,soy,2004,no,no,,,,21.25,78.75,1.953125,98.046875,MBL/Irvine
S04P7_100,-24.2,,,,,,,,BS,2013,0.19,0.28,S04P7,100,,NA,soy,2004,no,no,,,,23.75,76.25,-0.859375,100.859375,MBL/Irvine
S04P7_200,-24.4,,,,,,,,BS,2013,0.18,0.23,S04P7,200,,NA,soy,2004,no,no,,,,22.5,77.5,-7.578125,107.578125,MBL/Irvine
S07P1_10,-23.6,0.15,1.0665,0.0032,58.3,3.2,>Modern,,BS,2013,2.33,1.13,S07P1,10,1.2499,38,soy,2007,no,no,1417.046313,,1417.046313,27.5,72.5,27.5,72.5,MBL/Irvine
S07P1_20,-24.3,,,,,,,,BS,2013,0.44,0.78,S07P1,20,,43,soy,2007,no,no,,,,23.125,76.875,13.828125,86.171875,MBL/Irvine
S07P1_50,-24.4,,,,,,,,BS,2013,0.34,0.52,S07P1,50,,43,soy,2007,no,no,,,,22.5,77.5,3.203125,96.796875,MBL/Irvine
S07P1_100,-23.7,,,,,,,,BS,2013,0.29,0.36,S07P1,100,,48,soy,2007,no,no,,,,26.875,73.125,2.265625,97.734375,MBL/Irvine
S07P1_200,-22,,,,,,,,BS,2013,0.22,0.28,S07P1,200,,53,soy,2007,no,no,,,,37.5,62.5,7.421875,92.578125,MBL/Irvine
S07P2_10,-23.8,0.15,1.1108,0.0033,102.3,3.3,>Modern,,BS,2013,1.4,0.58,S07P2,10,1.3144,18,soy,2007,no,yes,768.2934695,low,768.2934695,26.25,73.75,26.25,73.75,MBL/Irvine
S07P2_20,-24.8,0.15,1.06,0.002,51.8,2,>Modern,,BS,2013,0.78,1,S07P2,20,1.7594,18,soy,2007,no,yes,1754.992537,low,3509.985073,20,80,10.703125,89.296875,MBL/Irvine
S07P2_50,-24,0.15,0.9259,0.0018,-81.2,1.8,620,20,BS,2013,2.33,1.15,S07P2,50,1.6914,25,soy,2007,no,yes,1946.452381,low,7785.809524,25,75,5.703125,94.296875,MBL/Irvine
S07P2_100,-23.5,0.15,0.7826,0.0015,-223.4,1.5,1970,20,BS,2013,1.9,1.18,S07P2,100,NA,30,soy,2007,no,yes,1788.690264,low,14309.52212,28.125,71.875,3.515625,96.484375,MBL/Irvine
S07P2_200,-23.9,0.15,0.5628,0.0011,-441.5,1.1,4615,20,BS,2013,2.33,1.51,S07P2,200,1.6095,28,soy,2007,no,yes,2434.365382,low,12171.82691,25.625,74.375,-4.453125,104.453125,MBL/Irvine
S07P3_10,-22.3,0.15,1.0673,0.0031,59.1,3.1,>Modern,,BS,2013,1.12,0.27,S07P3,10,1.4977,15,soy,2007,no,no,408.2499914,,408.2499914,35.625,64.375,35.625,64.375,MBL/Irvine
S07P3_20,-23.9,,,,,,,,BS,2013,0.32,0.62,S07P3,20,,18,soy,2007,no,no,,,,25.625,74.375,16.328125,83.671875,MBL/Irvine
S07P3_50,-24.5,,,,,,,,BS,2013,0.23,0.33,S07P3,50,,25,soy,2007,no,no,,,,21.875,78.125,2.578125,97.421875,MBL/Irvine
S07P3_100,-24.8,,,,,,,,BS,2013,0.15,0.2,S07P3,100,,28,soy,2007,no,no,,,,20,80,-4.609375,104.609375,MBL/Irvine
S07P3_200,-25.5,,,,,,,,BS,2013,0.1,0.12,S07P3,200,,25,soy,2007,no,no,,,,15.625,84.375,-14.453125,114.453125,MBL/Irvine
S07P4_10,-25.4,0.15,1.0676,0.0031,59.4,3.1,>Modern,,BS,2013,0.88,0.18,S07P4,10,1.7897,NA,soy,2007,no,no,321.8311049,,321.8311049,16.25,83.75,16.25,83.75,MBL/Irvine
S07P4_20,-26.5,,,,,,,,BS,2013,0.28,0.44,S07P4,20,,NA,soy,2007,no,no,,,,9.375,90.625,0.078125,99.921875,MBL/Irvine
S07P4_50,-24.6,,,,,,,,BS,2013,0.17,0.26,S07P4,50,,NA,soy,2007,no,no,,,,21.25,78.75,1.953125,98.046875,MBL/Irvine
S07P4_100,-24.6,,,,,,,,BS,2013,0.12,0.16,S07P4,100,,NA,soy,2007,no,no,,,,21.25,78.75,-3.359375,103.359375,MBL/Irvine
S07P4_200,-24.9,,,,,,,,BS,2013,0.1,0.11,S07P4,200,,NA,soy,2007,no,no,,,,19.375,80.625,-10.703125,110.703125,MBL/Irvine
S07P5_10,-23.5,0.15,1.0831,0.0032,74.8,3.2,>Modern,,BS,2013,1.83,0.15,S07P5,10,1.4251,45,soy,2007,no,no,207.9803365,,207.9803365,28.125,71.875,28.125,71.875,MBL/Irvine
S07P5_20,-24.5,,,,,,,,BS,2013,0.52,1.02,S07P5,20,,NA,soy,2007,no,no,,,,21.875,78.125,12.578125,87.421875,MBL/Irvine
S07P5_50,-22.7,,,,,,,,BS,2013,0.46,0.68,S07P5,50,,NA,soy,2007,no,no,,,,33.125,66.875,13.828125,86.171875,MBL/Irvine
S07P5_100,-22.3,,,,,,,,BS,2013,0.38,0.52,S07P5,100,,NA,soy,2007,no,no,,,,35.625,64.375,11.015625,88.984375,MBL/Irvine
S07P5_200,-22.6,,,,,,,,BS,2013,0.42,0.52,S07P5,200,,NA,soy,2007,no,no,,,,33.75,66.25,3.671875,96.328125,MBL/Irvine
S07P6_10,-24.6,0.15,1.0952,0.0032,86.8,3.2,>Modern,,BS,2013,1.28,1.33,S07P6,10,1.754,15,soy,2007,no,no,2325.400178,,2325.400178,21.25,78.75,21.25,78.75,MBL/Irvine
S07P6_20,-25.6,,,,,,,,BS,2013,0.23,0.36,S07P6,20,,NA,soy,2007,no,no,,,,15,85,5.703125,94.296875,MBL/Irvine
S07P6_50,-25.5,,,,,,,,BS,2013,0.19,0.28,S07P6,50,,NA,soy,2007,no,no,,,,15.625,84.375,-3.671875,103.671875,MBL/Irvine
S07P6_100,-25.4,,,,,,,,BS,2013,0.14,0.19,S07P6,100,,NA,soy,2007,no,no,,,,16.25,83.75,-8.359375,108.359375,MBL/Irvine
S07P6_200,-25.1,,,,,,,,BS,2013,0.12,0.15,S07P6,200,,NA,soy,2007,no,no,,,,18.125,81.875,-11.953125,111.953125,MBL/Irvine
S07P7_10,-22.6,0.15,1.0547,0.002,46.6,2,>Modern,,BS,2013,1.43,1.62,S07P7,10,1.6384,NA,soy,2007,no,no,2659.042623,,2659.042623,33.75,66.25,33.75,66.25,MBL/Irvine
S07P7_20,-24.5,,,,,,,,BS,2013,0.38,0.7,S07P7,20,,NA,soy,2007,no,no,,,,21.875,78.125,12.578125,87.421875,MBL/Irvine
S07P7_50,-24.3,,,,,,,,BS,2013,0.27,0.43,S07P7,50,,NA,soy,2007,no,no,,,,23.125,76.875,3.828125,96.171875,MBL/Irvine
S07P7_100,-23.8,,,,,,,,BS,2013,0.26,0.36,S07P7,100,,NA,soy,2007,no,no,,,,26.25,73.75,1.640625,98.359375,MBL/Irvine
S07P7_200,-21.5,,,,,,,,BS,2013,0.18,0.22,S07P7,200,,NA,soy,2007,no,no,,,,40.625,59.375,10.546875,89.453125,MBL/Irvine
S08P1_10,-24.4,0.15,1.0222,0.0029,14.3,2.9,>Modern,,BS,2013,1.69,1.69,S08P1,10,1.4654,48,soy,2008,no,no,2478.034377,,2478.034377,22.5,77.5,22.5,77.5,MBL/Irvine
S08P1_20,-24,,,,,,,,BS,2013,0.37,0.66,S08P1,20,,NA,soy,2008,no,no,,,,25,75,15.703125,84.296875,MBL/Irvine
S08P1_50,-23.6,,,,,,,,BS,2013,0.36,0.53,S08P1,50,,NA,soy,2008,no,no,,,,27.5,72.5,8.203125,91.796875,MBL/Irvine
S08P1_100,-24,,,,,,,,BS,2013,0.34,0.47,S08P1,100,,NA,soy,2008,no,no,,,,25,75,0.390625,99.609375,MBL/Irvine
S08P1_200,-22.1,,,,,,,,BS,2013,0.28,0.34,S08P1,200,,NA,soy,2008,no,no,,,,36.875,63.125,6.796875,93.203125,MBL/Irvine
S08P2_10,-23.8,0.15,1.0955,0.0033,87,3.3,>Modern,,BS,2013,2.09,1.85,S08P2,10,1.53,NA,soy,2008,no,no,2823.668669,,2823.668669,26.25,73.75,26.25,73.75,MBL/Irvine
S08P2_20,-24.6,,,,,,,,BS,2013,0.55,0.97,S08P2,20,,NA,soy,2008,no,no,,,,21.25,78.75,11.953125,88.046875,MBL/Irvine
S08P2_50,-22.7,,,,,,,,BS,2013,0.49,0.76,S08P2,50,,NA,soy,2008,no,no,,,,33.125,66.875,13.828125,86.171875,MBL/Irvine
S08P2_100,-20.6,,,,,,,,BS,2013,0.43,0.58,S08P2,100,,NA,soy,2008,no,no,,,,46.25,53.75,21.640625,78.359375,MBL/Irvine
S08P2_200,-21,,,,,,,,BS,2013,0.35,0.42,S08P2,200,,NA,soy,2008,no,no,,,,43.75,56.25,13.671875,86.328125,MBL/Irvine
S08P3_10,-22.2,0.15,1.066,0.0031,57.8,3.1,>Modern,,BS,2013,2.38,1.31,S08P3,10,1.3607,43,soy,2008,no,yes,1785.248829,high,1785.248829,36.25,63.75,36.25,63.75,MBL/Irvine
S08P3_10-20,-23.4,0.15,0.8782,0.0015,-128.6,1.5,1045,15,BS,2013,1.2,0.6,S08P3,20,1.545,NA,soy,2008,no,yes,930.4500257,high,1860.900051,28.75,71.25,19.453125,80.546875,MBL/Irvine
S08P3_40-50,-23.1,0.15,0.8476,0.0021,-158.9,2.1,1330,20,BS,2013,1.9,0.49,S08P3,50,1.4378,NA,soy,2008,no,yes,706.1407668,high,2824.563067,30.625,69.375,11.328125,88.671875,MBL/Irvine
S08P3_90-100,-22.5,0.15,0.6766,0.0014,-328.6,1.4,3140,20,BS,2013,1.9,0.35,S08P3,100,1.2798,NA,soy,2008,no,yes,445.3013953,high,3562.411163,34.375,65.625,9.765625,90.234375,MBL/Irvine
S08P3_190-200,-20.9,0.15,0.6278,0.0014,-377.1,1.4,3740,20,BS,2013,2,0.29,S08P3,200,1.228,NA,soy,2008,no,yes,351.6887221,high,1758.443611,44.375,55.625,14.296875,85.703125,MBL/Irvine
S08P4_10,-23.6,0.15,1.0702,0.0031,61.9,3.1,>Modern,,BS,2013,1.62,1.37,S08P4,10,1.5081,38,soy,2008,no,no,2067.653527,,2067.653527,27.5,72.5,27.5,72.5,MBL/Irvine
S08P4_20,-23.9,,,,,,,,BS,2013,0.34,0.65,S08P4,20,,NA,soy,2008,no,no,,,,25.625,74.375,16.328125,83.671875,MBL/Irvine
S08P4_50,-24.2,,,,,,,,BS,2013,0.25,0.4,S08P4,50,,NA,soy,2008,no,no,,,,23.75,76.25,4.453125,95.546875,MBL/Irvine
S08P4_100,-23.8,,,,,,,,BS,2013,0.26,0.33,S08P4,100,,NA,soy,2008,no,no,,,,26.25,73.75,1.640625,98.359375,MBL/Irvine
S08P4_200,-21.9,,,,,,,,BS,2013,0.2,0.23,S08P4,200,,NA,soy,2008,no,no,,,,38.125,61.875,8.046875,91.953125,MBL/Irvine
S08P5_10,-22.2,0.15,1.0971,0.0032,88.6,3.2,>Modern,,BS,2013,1.83,1.95,S08P5,10,1.5993,28,soy,2008,no,yes,3119.2576,low,3119.2576,36.25,63.75,36.25,63.75,MBL/Irvine
S08P5_10-20,-23.6,0.15,1.1019,0.0019,93.4,1.9,> Modern,,BS,2013,2.9,1.36,S08P5,20,1.6698,NA,soy,2008,no,yes,2273.43662,low,4546.873239,27.5,72.5,18.203125,81.796875,MBL/Irvine
S08P5_40-50,-22.1,0.15,0.9595,0.0017,-47.9,1.7,330,15,BS,2013,3.9,0.54,S08P5,50,1.7564,NA,soy,2008,no,yes,941.0971513,low,3764.388605,36.875,63.125,17.578125,82.421875,MBL/Irvine
S08P5_90-100,-21.1,0.15,0.8118,0.002,-194.5,2,1675,25,BS,2013,2.9,0.26,S08P5,100,1.558,NA,soy,2008,no,yes,405.0537459,low,3240.429967,43.125,56.875,18.515625,81.484375,MBL/Irvine
S08P5_190-200,-21.3,0.15,0.6854,0.0013,-319.8,1.3,3035,15,BS,2013,2.7,0.2,S08P5,200,NA,NA,soy,2008,no,yes,255.9201701,low,1279.60085,41.875,58.125,11.796875,88.203125,MBL/Irvine
S08P6_10,-23.8,0.15,1.048,0.0033,39.9,3.3,>Modern,,BS,2013,2.45,2,S08P6,10,1.7669,35,soy,2008,no,no,3527.363206,,3527.363206,26.25,73.75,26.25,73.75,MBL/Irvine
S08P6_20,-24.8,,,,,,,,BS,2013,0.43,0.72,S08P6,20,,NA,soy,2008,no,no,,,,20,80,10.703125,89.296875,MBL/Irvine
S08P6_50,-24.4,,,,,,,,BS,2013,0.38,0.51,S08P6,50,,NA,soy,2008,no,no,,,,22.5,77.5,3.203125,96.796875,MBL/Irvine
S08P6_100,-24,,,,,,,,BS,2013,0.26,0.34,S08P6,100,,NA,soy,2008,no,no,,,,25,75,0.390625,99.609375,MBL/Irvine
S08P6_200,-24.2,,,,,,,,BS,2013,0.34,0.41,S08P6,200,,NA,soy,2008,no,no,,,,23.75,76.25,-6.328125,106.328125,MBL/Irvine
S08P7_10,-21.2,0.15,1.0749,0.0034,66.6,3.4,>Modern,,BS,2013,2.7,1.49,S08P7,10,1.4816,NA,soy,2008,no,no,2214.991236,,2214.991236,42.5,57.5,42.5,57.5,MBL/Irvine
S08P7_20,-23.9,,,,,,,,BS,2013,0.56,1.05,S08P7,20,,NA,soy,2008,no,no,,,,25.625,74.375,16.328125,83.671875,MBL/Irvine
S08P7_50,-22.5,,,,,,,,BS,2013,0.43,0.67,S08P7,50,,NA,soy,2008,no,no,,,,34.375,65.625,15.078125,84.921875,MBL/Irvine
S08P7_100,-21.5,,,,,,,,BS,2013,0.39,0.54,S08P7,100,,NA,soy,2008,no,no,,,,40.625,59.375,16.015625,83.984375,MBL/Irvine
S08P7_200,-22.3,,,,,,,,BS,2013,0.29,0.34,S08P7,200,,NA,soy,2008,no,no,,,,35.625,64.375,5.546875,94.453125,MBL/Irvine
